Precipitation,Month,Week,Year,City,Code,State,AverageTemp,MaxTemp,MinTemp,WindDirection,WindSpeed
0.0,1,3,2016,Birmingham,BHM,Alabama,39,46,32,33,4.33
0.0,1,3,2016,Huntsville,HSV,Alabama,39,47,31,32,3.86
0.16,1,3,2016,Mobile,MOB,Alabama,46,51,41,35,9.73
0.0,1,3,2016,Montgomery,MGM,Alabama,45,52,38,32,6.86
0.01,1,3,2016,Anchorage,ANC,Alaska,34,38,29,19,7.8
0.09,1,3,2016,Annette,ANN,Alaska,38,44,31,9,8.7
0.15,1,3,2016,Bettles,BTT,Alaska,22,32,9,2,3.1
0.6,1,3,2016,Cold Bay,CDB,Alaska,34,36,31,20,9.1
2.15,1,3,2016,Cordova,CDV,Alaska,38,43,33,9,9.76
0.0,1,3,2016,Fairbanks,FAI,Alaska,14,30,4,2,2.2
0.02,1,3,2016,Gulkana,GKN,Alaska,27,34,19,14,8.23
1.22,1,3,2016,Homer,HOM,Alaska,39,42,35,9,11.26
0.7,1,3,2016,Juneau,JNU,Alaska,36,40,31,10,9.23
0.14,1,3,2016,Kenai,ENA,Alaska,34,37,30,6,11.2
0.17,1,3,2016,Ketchikan,KTN,Alaska,37,41,33,15,6.16
0.1,1,3,2016,Kotzebue,OTZ,Alaska,27,33,20,11,11.76
0.01,1,3,2016,Mc Grath,MCG,Alaska,30,39,20,15,3.7
0.08,1,3,2016,Nome,OME,Alaska,29,32,25,6,12.86
0.0,1,3,2016,Northway,ORT,Alaska,0,8,-9,20,0.36
0.4,1,3,2016,Palmer,PAQ,Alaska,37,42,32,8,10.5
0.37,1,3,2016,Sitka,SIT,Alaska,43,46,39,19,11.26
0.55,1,3,2016,Skagway,SGY,Alaska,38,42,33,14,5.2
0.04,1,3,2016,Talkeetna,TKA,Alaska,32,39,23,2,4.93
0.0,1,3,2016,Tanana,TAL,Alaska,21,29,13,8,3.83
0.05,1,3,2016,Utqiagvik (Barrow),BRW,Alaska,6,9,2,6,13.76
2.42,1,3,2016,Yakutat,YAK,Alaska,36,40,32,11,5.93
0.0,1,3,2016,Douglas Bisbee,DUG,Arizona,41,57,24,6,4.2
0.0,1,3,2016,Kingman,IGM,Arizona,40,54,25,4,4.2
0.0,1,3,2016,Phoenix,PHX,Arizona,58,69,45,13,5.8
0.0,1,3,2016,Tucson,TUS,Arizona,56,69,43,12,12.93
0.0,1,3,2016,Winslow,INW,Arizona,29,42,15,27,2.7
0.0,1,3,2016,Fort Smith,FSM,Arkansas,39,51,27,27,5.16
0.0,1,3,2016,Harrison,HRO,Arkansas,38,48,27,29,7.4
0.0,1,3,2016,Bakersfield,BFL,California,47,60,33,34,2.2
0.0,1,3,2016,Bishop,BIH,California,27,42,12,32,3.06
0.0,1,3,2016,China Lake,NID,California,35,49,21,21,1.56
0.0,1,3,2016,Concord,CCR,California,44,51,37,6,4.06
0.0,1,3,2016,Fresno,FAT,California,46,55,36,25,0.86
0.0,1,3,2016,Hayward,HWD,California,47,53,41,6,6.56
0.0,1,3,2016,Long Beach,LGB,California,54,65,43,24,2.13
0.0,1,3,2016,Los Angeles,LAX,California,55,63,45,15,2.76
0.0,1,3,2016,Red Bluff,RBL,California,44,50,36,33,7.73
0.0,1,3,2016,Redding,RDD,California,45,51,38,34,6.16
0.0,1,3,2016,Sacramento,SAC,California,44,52,34,34,3.63
0.0,1,3,2016,Salinas,SNS,California,49,57,41,8,6.46
0.0,1,3,2016,San Diego,SAN,California,55,64,45,24,1.83
0.04,1,3,2016,San Francisco,SFO,California,46,51,41,10,4.43
0.0,1,3,2016,Santa Barbara,SBA,California,51,62,39,12,4.9
0.0,1,3,2016,Santa Maria,SMX,California,51,63,37,21,3.86
0.0,1,3,2016,Stockton,SCK,California,42,51,33,26,1.86
0.0,1,3,2016,Alamosa,ALS,Colorado,14,33,-5,32,1.4
0.0,1,3,2016,Colorado Springs,COS,Colorado,28,45,9,15,3.13
0.0,1,3,2016,Denver,DEN,Colorado,27,40,12,20,7.2
0.0,1,3,2016,Grand Junction,GJT,Colorado,14,24,4,8,4.46
0.0,1,3,2016,Pueblo,PUB,Colorado,26,47,4,27,1.93
0.0,1,3,2016,Bridgeport,BDR,Connecticut,38,43,32,27,8.86
0.0,1,3,2016,Windsor Locks,BDL,Connecticut,34,40,27,24,6.2
0.0,1,3,2016,Newark,NWK,Delaware,37,46,27,28,6.43
0.0,1,3,2016,Wilmington,ILG,Delaware,37,46,27,28,6.43
0.75,1,3,2016,Daytona Beach,DAB,Florida,63,68,58,32,6.23
0.49,1,3,2016,Fort Lauderdale,FLL,Florida,76,82,70,28,5.16
0.62,1,3,2016,Gainesville,GNV,Florida,56,62,51,33,4.6
0.49,1,3,2016,Jacksonville,JAX,Florida,56,61,50,31,4.83
0.5,1,3,2016,Key West,EYW,Florida,79,82,74,17,4.53
1.13,1,3,2016,Miami,MIA,Florida,76,82,70,17,3.33
0.14,1,3,2016,Orlando,MCO,Florida,65,72,57,31,6.93
0.12,1,3,2016,Pensacola,PNS,Florida,48,52,44,35,9.33
0.46,1,3,2016,Tallahassee,TLH,Florida,53,57,48,34,6.16
0.18,1,3,2016,Tampa,TPA,Florida,66,71,59,8,5.73
0.97,1,3,2016,Vero Beach,VRB,Florida,69,74,62,28,6.9
0.24,1,3,2016,West Palm Beach,PBI,Florida,74,80,67,27,6.83
0.66,1,3,2016,Alma,AMG,Georgia,51,58,47,32,5.06
0.0,1,3,2016,Athens,AHN,Georgia,45,54,36,29,5.1
0.0,1,3,2016,Atlanta,ATL,Georgia,42,48,36,31,10.93
0.0,1,3,2016,Augusta,AGS,Georgia,48,56,41,31,3.06
0.01,1,3,2016,Macon,MCN,Georgia,47,53,40,31,5.46
0.41,1,3,2016,Savannah,SAV,Georgia,56,62,49,31,5.0
0.11,1,3,2016,Hilo,ITO,Hawaii,73,81,65,20,3.33
0.0,1,3,2016,Honolulu,HNL,Hawaii,73,81,64,24,5.13
0.04,1,3,2016,Kahului,OGG,Hawaii,71,80,60,3,8.4
0.04,1,3,2016,Kaunakakai,MKK,Hawaii,72,79,64,14,8.86
0.0,1,3,2016,Lihue,LIH,Hawaii,70,79,60,23,6.06
0.0,1,3,2016,Boise,BOI,Idaho,15,23,7,16,3.0
0.0,1,3,2016,Lewiston,LWS,Idaho,21,29,12,9,2.56
0.0,1,3,2016,Pocatello,PIH,Idaho,8,21,-4,2,2.66
0.0,1,3,2016,Chicago,ORD,Illinois,25,30,20,28,12.16
0.0,1,3,2016,Moline,MLI,Illinois,25,31,19,28,10.9
0.0,1,3,2016,Peoria,PIA,Illinois,29,35,22,28,8.2
0.0,1,3,2016,Quincy,UIN,Illinois,29,35,22,28,10.53
0.0,1,3,2016,Rockford,RFD,Illinois,24,30,18,28,9.73
0.0,1,3,2016,Springfield,SPI,Illinois,31,37,24,27,9.96
0.0,1,3,2016,Evansville,EVV,Indiana,35,43,27,27,6.06
0.0,1,3,2016,Fort Wayne,FWA,Indiana,29,31,25,26,13.2
0.0,1,3,2016,Indianapolis,IND,Indiana,29,34,24,26,10.73
0.03,1,3,2016,South Bend,SBN,Indiana,27,30,23,26,11.83
0.0,1,3,2016,Cedar Rapids,CID,Iowa,22,28,15,28,11.46
0.0,1,3,2016,Des Moines,DSM,Iowa,24,32,16,30,10.0
0.0,1,3,2016,Dubuque,DBQ,Iowa,21,27,14,28,11.86
0.0,1,3,2016,Sioux City,SUX,Iowa,21,31,11,30,8.63
0.0,1,3,2016,Waterloo,ALO,Iowa,22,29,13,28,11.06
0.0,1,3,2016,Concordia,CNK,Kansas,31,43,18,29,8.96
0.0,1,3,2016,Dodge City,DDC,Kansas,31,46,16,31,8.36
0.0,1,3,2016,Goodland,GLD,Kansas,30,46,13,28,8.1
0.0,1,3,2016,Medicine Lodge,P28,Kansas,34,49,19,32,4.9
0.0,1,3,2016,Topeka,TOP,Kansas,32,43,22,29,5.96
0.0,1,3,2016,Wichita,ICT,Kansas,33,45,21,29,5.96
0.0,1,3,2016,Covington,CVG,Kentucky,33,39,27,26,7.73
0.0,1,3,2016,Jackson,JKL,Kentucky,37,45,28,24,2.93
